epoch,w0,w1,w2,w3,wg0,wg1,wg2,wg3,loss,loss_kl,loss_mse
7.0000e+01,1.0497e+00,9.0673e-01,8.4953e-01,9.4334e-01,1.6507e+00,1.1676e+00,2.1362e+00,5.8189e-01,1.4332e+01,1.0366e+00,1.3295e+01
7.1000e+01,1.0481e+00,9.0557e-01,8.4740e-01,9.4276e-01,6.5562e-01,-1.6358e-02,2.3290e+00,9.8608e-01,1.4830e+01,1.0325e+00,1.3797e+01
7.2000e+01,1.0474e+00,9.0558e-01,8.4507e-01,9.4177e-01,-3.4721e+00,7.3011e+00,2.4612e+00,1.3221e+00,2.5558e+01,1.0295e+00,2.4529e+01
7.3000e+01,1.0509e+00,8.9828e-01,8.4260e-01,9.4045e-01,-8.8655e-01,4.1022e-01,1.8772e+00,2.0570e-01,1.5383e+01,1.0283e+00,1.4354e+01
7.4000e+01,1.0518e+00,8.9787e-01,8.4073e-01,9.4024e-01,1.7897e+00,1.4141e+00,2.1544e+00,6.3582e-01,1.4494e+01,1.0275e+00,1.3467e+01
7.5000e+01,1.0500e+00,8.9646e-01,8.3857e-01,9.3961e-01,6.8330e-01,-8.9180e-03,3.4217e+00,5.0964e+00,1.9847e+01,1.0231e+00,1.8824e+01
7.6000e+01,1.0493e+00,8.9647e-01,8.3515e-01,9.3451e-01,-8.6599e-01,3.8106e-01,2.0054e+00,3.8892e-01,1.5665e+01,1.0178e+00,1.4648e+01
7.7000e+01,1.0502e+00,8.9608e-01,8.3315e-01,9.3412e-01,2.3446e-01,-1.8258e-01,2.2946e+00,9.4521e-01,1.5006e+01,1.0168e+00,1.3990e+01
7.8000e+01,1.0499e+00,8.9627e-01,8.3085e-01,9.3318e-01,-1.6600e+00,1.6632e+00,1.8008e+00,1.3388e-01,1.7040e+01,1.0144e+00,1.6026e+01
7.9000e+01,1.0516e+00,8.9460e-01,8.2905e-01,9.3304e-01,-7.4356e-01,2.5178e-01,1.9623e+00,3.3644e-01,1.5340e+01,1.0141e+00,1.4326e+01
8.0000e+01,1.0524e+00,8.9435e-01,8.2709e-01,9.3271e-01,7.0295e-01,7.9642e-04,1.6643e+00,2.1585e-02,1.3113e+01,1.0130e+00,1.2100e+01
8.1000e+01,1.0516e+00,8.9435e-01,8.2542e-01,9.3269e-01,-9.6483e-01,5.0432e-01,1.3379e+00,-6.6982e-02,1.4615e+01,1.0109e+00,1.3604e+01
8.2000e+01,1.0526e+00,8.9385e-01,8.2409e-01,9.3275e-01,-1.1450e+00,7.5439e-01,1.6660e+00,2.6340e-02,1.5503e+01,1.0107e+00,1.4492e+01
8.3000e+01,1.0538e+00,8.9309e-01,8.2242e-01,9.3273e-01,-1.7152e+00,1.7920e+00,1.9499e+00,3.3211e-01,1.7572e+01,1.0103e+00,1.6561e+01
8.4000e+01,1.0555e+00,8.9130e-01,8.2047e-01,9.3239e-01,-7.0196e-02,-1.6726e-01,1.9711e+00,3.6684e-01,1.4390e+01,1.0098e+00,1.3381e+01
8.5000e+01,1.0555e+00,8.9147e-01,8.1850e-01,9.3203e-01,-3.7537e-02,-1.7418e-01,2.2232e+00,8.3001e-01,1.5083e+01,1.0082e+00,1.4075e+01
8.6000e+01,1.0556e+00,8.9164e-01,8.1628e-01,9.3120e-01,-8.3535e-01,3.5577e-01,1.8971e+00,2.7032e-01,1.5380e+01,1.0062e+00,1.4374e+01
8.7000e+01,1.0564e+00,8.9129e-01,8.1438e-01,9.3093e-01,-1.4932e+00,1.3519e+00,2.3631e+00,1.1680e+00,1.8244e+01,1.0053e+00,1.7239e+01
8.8000e+01,1.0579e+00,8.8993e-01,8.1202e-01,9.2976e-01,-1.7506e+00,1.8831e+00,1.7697e+00,1.2833e-01,1.7279e+01,1.0042e+00,1.6275e+01
8.9000e+01,1.0597e+00,8.8805e-01,8.1025e-01,9.2963e-01,-3.2892e+00,6.6533e+00,1.5182e+00,-4.2566e-02,2.2392e+01,1.0040e+00,2.1388e+01
9.0000e+01,1.0629e+00,8.8140e-01,8.0873e-01,9.2967e-01,-7.6349e-01,2.8375e-01,1.8183e+00,1.8574e-01,1.5089e+01,1.0043e+00,1.4085e+01
9.1000e+01,1.0637e+00,8.8111e-01,8.0691e-01,9.2949e-01,-4.2814e-01,-5.3112e-03,1.7865e+00,1.5358e-01,1.4460e+01,1.0035e+00,1.3456e+01
9.2000e+01,1.0641e+00,8.8112e-01,8.0512e-01,9.2933e-01,-2.1156e+00,2.7882e+00,1.0177e+00,8.8835e-02,1.7422e+01,1.0025e+00,1.6419e+01
9.3000e+01,1.0663e+00,8.7833e-01,8.0411e-01,9.2925e-01,-4.5889e-01,1.7126e-02,2.3790e+00,1.2427e+00,1.6221e+01,1.0031e+00,1.5218e+01
9.4000e+01,1.0667e+00,8.7831e-01,8.0173e-01,9.2800e-01,-1.4686e+00,1.3318e+00,1.7651e+00,1.3800e-01,1.6549e+01,1.0012e+00,1.5548e+01
9.5000e+01,1.0682e+00,8.7698e-01,7.9996e-01,9.2786e-01,-9.1645e-01,4.6820e-01,9.6356e-01,1.3473e-01,1.4275e+01,1.0010e+00,1.3274e+01
9.6000e+01,1.0691e+00,8.7651e-01,7.9900e-01,9.2773e-01,-8.7704e-01,4.2160e-01,1.5648e+00,-1.4054e-02,1.4828e+01,1.0010e+00,1.3827e+01
9.7000e+01,1.0700e+00,8.7609e-01,7.9743e-01,9.2774e-01,1.4741e+00,8.1422e-01,1.5882e+00,5.1780e-04,1.3036e+01,1.0006e+00,1.2036e+01
9.8000e+01,1.0685e+00,8.7528e-01,7.9585e-01,9.2774e-01,-3.6123e+00,8.0827e+00,1.6492e+00,4.3138e-02,2.4158e+01,9.9749e-01,2.3161e+01
9.9000e+01,1.0721e+00,8.6720e-01,7.9420e-01,9.2770e-01,-1.3005e+00,1.0392e+00,1.8993e+00,3.1366e-01,1.6471e+01,9.9774e-01,1.5473e+01
1.0000e+02,1.0734e+00,8.6616e-01,7.9230e-01,9.2739e-01,1.2628e+00,5.0182e-01,1.3019e+00,-6.2526e-02,1.2557e+01,9.9723e-01,1.1560e+01
1.0100e+02,1.0722e+00,8.6565e-01,7.9099e-01,9.2745e-01,-2.5056e+00,3.9495e+00,3.1183e+00,3.9314e+00,2.4818e+01,9.9473e-01,2.3824e+01
